Cmd Ckeck Tipo;Command_Check
Local Disk;check_local_disk!20%!10%!/      
Local Users;check_local_users!20!50         
Total Procs;check_local_procs!250!400!RSZDT 
Current Load;check_local_load!5.0,4.0,3.0!10.0,6.0,4.0
Swap;check_local_swap!20!10          
DNS;check_dns!www.proderj.rj.gov.br
FTP;check_ftp
SMTP;check_smtp
IMAP;check_imap
LDAP;check_ldap
PING;check_ping!500.0,30%!900.0,60%
PING_L;check_ping!1000.0,50%!2000.0,90%
HTTP;check_http
HTTPS;check_http!-S
HTTPS_bilhete;check_http!-S!-H www.cartaoriocard.com.br!-u '/bubkf/login.do'
HTTP_clip;check_http!-u /mclippingserver/DatabaseConnectionTest -e 'HTTP/1.1 200'
PROXY_HTTP;check_proxy
WEB;check_web
SSH;check_ssh
UNIX_PROCS;check_procs
SNMP;check_snmp
POP3S;check_pop!-S -p 995
IMAPS;check_imap!-S -p 993
DriveC;check_drive!C:\!70!90
DriveD;check_drive!D:\!70!90
DriveE;check_drive!E:\!70!90
CPULOAD;check_cpuload!0.7!0.9
MemPhy;check_mem_phy!65!90
MemPag;check_mem_page!65!90
SVCHOST;check_service!"svchost.exe -k NetworkService"
